100000 199999
1 2 95101684
1 3 29089694
3 4 51273018
1 5 26573532
3 6 83453181
4 7 42780739
2 8 38377014
1 9 2534962
6 10 92563414
10 11 42207253
8 12 84764105
6 13 17443768
10 14 14175215
1 15 19445102
10 16 15305333
11 17 82333943
14 18 27195238
7 19 58574212
12 20 2454396
4 21 1928334
7 22 81742224
10 23 95807408
1 24 71830313
18 25 93417904
17 26 82570623
24 27 4584596
12 28 26787636
27 29 34078448
13 30 67996812
23 31 76831483
7 32 85803159
12 33 58682315
23 34 92026973
13 35 29377144
16 36 98690988
27 37 69225330
29 38 518813
36 39 14543780
16 40 70936700
10 41 63124495
36 42 684793
1 43 62245862
11 44 69813858
16 45 85486172
36 46 54751433
22 47 14290732
4 48 78583470
32 49 52275236
10 50 76557778
43 51 78307546
16 52 82479213
29 53 85187543
41 54 15052201
18 55 75713787
4 56 56129467
24 57 67415343
10 58 53549348
17 59 44258437
40 60 95705232
8 61 46113681
58 62 85620520
48 63 34715990
10 64 26767813
41 65 49456201
49 66 3522980
18 67 63241668
37 68 74860241
2 69 19609091
15 70 79549121
9 71 1521108
29 72 52755467
33 73 13422898
34 74 2483741
34 75 72180537
24 76 69497507
14 77 20024924
9 78 61758803
77 79 24675890
76 80 85340724
78 81 41802907
43 82 66432165
59 83 70364296
42 84 81186754
58 85 19510566
85 86 7377822
39 87 25584935
11 88 42198868
60 89 24618788
12 90 47100836
58 91 29410033
21 92 1753662
16 93 31888687
79 94 86579583
25 95 10793502
92 96 7731590
46 97 18147124
44 98 45243914
23 99 29801015
42 100 87896264
81 101 73736989
38 102 89766266
19 103 57819536
10 104 9059344
62 105 63851067
31 106 41339225
13 107 29524129
32 108 32199613
9 109 19779559
75 110 92687476
80 111 25342758
18 112 2413392
25 113 62698773
91 114 99131571
63 115 20093415
101 116 7634497
16 117 91946955
72 118 70653789
11 119 68767783
97 120 97564835
6 121 82956208
29 122 31475992
66 123 406415
116 124 39344054
25 125 72149267
103 126 90733242
100 127 82322178
15 128 2388081
17 129 33269555
